#Roots: 1
Root indexes:	12676 
0:	Offset: 8  Size:5  Children:2	[31,33][12628,12630][12136,12138]
1:	Offset: 18  Size:1  Children:0	[31,31][12628,12628][12136,12136]
2:	Offset: 24  Size:1  Children:0	[32,32][12629,12629][12137,12137]
3:	Offset: 30  Size:27  Children:11	[27,40][12624,12637][12135,12148]
4:	Offset: 62  Size:1  Children:0	[36,36][12634,12634][12146,12146]
5:	Offset: 68  Size:1  Children:0	[29,29][12625,12625][12143,12143]
6:	Offset: 74  Size:1  Children:0	[37,37][12635,12635][12142,12142]
7:	Offset: 80  Size:1  Children:0	[27,27][12626,12626][12139,12139]
8:	Offset: 86  Size:1  Children:0	[30,30][12636,12636][12144,12144]
9:	Offset: 92  Size:1  Children:0	[28,28][12633,12633][12141,12141]
10:	Offset: 99  Size:1  Children:0	[38,38][12632,12632][12135,12135]
11:	Offset: 106  Size:1  Children:0	[35,35][12627,12627][12147,12147]
12:	Offset: 113  Size:1  Children:0	[34,34][12631,12631][12145,12145]
13:	Offset: 120  Size:1  Children:0	[39,39][12624,12624][12140,12140]
14:	Offset: 127  Size:4  Children:1	[42,43][12618,12622][12149,12153]
15:	Offset: 137  Size:1  Children:0	[42,42][12618,12618][12149,12149]
16:	Offset: 144  Size:7  Children:2	[20,44][12618,12620][12149,12151]
17:	Offset: 157  Size:1  Children:0	[20,20][12619,12619][12150,12150]
18:	Offset: 164  Size:4  Children:1	[20,21][12619,12621][12150,12152]
19:	Offset: 174  Size:10  Children:3	[20,45][12618,12623][12149,12154]
20:	Offset: 190  Size:10  Children:3	[7,26][5741,12639][3,12157]
21:	Offset: 206  Size:10  Children:3	[22,25][12613,12616][12130,12133]
22:	Offset: 222  Size:13  Children:4	[7,11][5741,5745][3,7]
23:	Offset: 241  Size:1  Children:0	[23,23][12615,12615][12132,12132]
24:	Offset: 248  Size:1  Children:0	[24,24][12613,12613][12130,12130]
25:	Offset: 255  Size:1  Children:0	[22,22][12614,12614][12131,12131]
26:	Offset: 262  Size:15  Children:5	[20,47][12612,12638][12130,12156]
27:	Offset: 283  Size:1  Children:0	[41,41][12612,12612][12155,12155]
28:	Offset: 290  Size:1  Children:0	[46,46][12617,12617][12134,12134]
29:	Offset: 297  Size:10  Children:3	[5,48][5739,12640][3,12158]
30:	Offset: 313  Size:31  Children:10	[5,19][5739,5753][3,17]
31:	Offset: 350  Size:1  Children:0	[8,8][5743,5743][6,6]
32:	Offset: 357  Size:1  Children:0	[10,10][5741,5741][3,3]
33:	Offset: 364  Size:1  Children:0	[7,7][5742,5742][4,4]
34:	Offset: 371  Size:1  Children:0	[9,9][5744,5744][5,5]
35:	Offset: 378  Size:1  Children:0	[5,5][5740,5740][8,8]
36:	Offset: 385  Size:1  Children:0	[12,12][5751,5751][16,16]
37:	Offset: 392  Size:1  Children:0	[17,17][5750,5750][14,14]
38:	Offset: 399  Size:1  Children:0	[14,14][5746,5746][9,9]
39:	Offset: 406  Size:1  Children:0	[18,18][5752,5752][12,12]
40:	Offset: 413  Size:1  Children:0	[15,15][5748,5748][13,13]
41:	Offset: 420  Size:1  Children:0	[13,13][5749,5749][15,15]
42:	Offset: 427  Size:1  Children:0	[16,16][5739,5739][10,10]
43:	Offset: 434  Size:1  Children:0	[6,6][5747,5747][11,11]
44:	Offset: 441  Size:7  Children:2	[6910,6912][2,4][21,23]
45:	Offset: 454  Size:1  Children:0	[6910,6910][3,3][21,21]
46:	Offset: 461  Size:1  Children:0	[6911,6911][2,2][22,22]
47:	Offset: 468  Size:7  Children:2	[6915,6917][10,12][5749,5751]
48:	Offset: 481  Size:1  Children:0	[6915,6915][11,11][5750,5750]
49:	Offset: 488  Size:1  Children:0	[6916,6916][10,10][5749,5749]
50:	Offset: 495  Size:13  Children:4	[7165,7169][3490,3494][1957,1961]
51:	Offset: 514  Size:1  Children:0	[7167,7167][3493,3493][1960,1960]
52:	Offset: 521  Size:1  Children:0	[7165,7165][3490,3490][1957,1957]
53:	Offset: 528  Size:1  Children:0	[7166,7166][3491,3491][1958,1958]
54:	Offset: 535  Size:1  Children:0	[7168,7168][3492,3492][1959,1959]
55:	Offset: 542  Size:16  Children:5	[7225,7230][3521,3526][1988,1993]
56:	Offset: 564  Size:1  Children:0	[7228,7228][3525,3525][1992,1992]
57:	Offset: 571  Size:1  Children:0	[7226,7226][3521,3521][1988,1988]
58:	Offset: 578  Size:1  Children:0	[7225,7225][3522,3522][1989,1989]
59:	Offset: 585  Size:1  Children:0	[7227,7227][3524,3524][1991,1991]
